lead_id,lead_date,mapped_dealer_id,lead_type,stage,estimated_value,competitor_seen,note
ASPLEAD0000730,2026-03-30,ASPDLR000378,Commercial,new,1001697.49,Indigo,price high
ASPLEAD0000731,12/08/2025,ASPDLR000828,Villa,site visit,2109894.67,JSW,
ASPLEAD0000732,2025-06-20,ASPDLR000820,Commercial,stalled,927288.43,unknown,contractor controls decision
ASPLEAD0000733,2026-01-18,ASPDLR000673,Waterproofing,won,2357589.22,Indigo,payment risk
ASPLEAD0000734,06/03/2026,ASPDLR000434,Builder project,stalled,962736.24,Berger,contractor controls decision
ASPLEAD0000735,2024-12-08,ASPDLR000175,Commercial,won,1999307.09,Berger,price high
ASPLEAD0000736,2025-02-03,ASPDLR000696,Waterproofing,quoted,2056431.53,JSW,
ASPLEAD0000737,2024-05-17,ASPDLR000275,Villa,site visit,2337633.63,JSW,price high
ASPLEAD0000738,2025-10-24,ASPDLR000052,Villa,stalled,2138036.35,Nerolac,contractor controls decision
ASPLEAD0000739,2026-01-29,ASPDLR000006,Commercial,site visit,1643654.53,Nerolac,contractor controls decision
ASPLEAD0000740,2025-05-10,ASPDLR000166,Commercial,quoted,77118.81,Berger,payment risk
ASPLEAD0000741,2025-04-09,ASPDLR000274,Builder project,quoted,1985960.97,JSW,contractor controls decision
ASPLEAD0000742,2024-05-30,ASPDLR000907,Builder project,won,2023270.20,Berger,price high
ASPLEAD0000743,2025-10-23,ASPDLR000656,Builder project,stalled,2277272.60,Local,contractor controls decision
ASPLEAD0000744,11/08/2025,ASPDLR000053,Builder project,new,54338.68,Local,price high
ASPLEAD0000745,2025-11-14,ASPDLR000362,Commercial,lost,2963009.02,None,contractor controls decision
ASPLEAD0000746,2026-01-10,ASPDLR000154,Commercial,lost,1119283.90,Local,
ASPLEAD0000747,2026-03-20,ASPDLR000950,Waterproofing,won,119666.86,None,price high
ASPLEAD0000748,2025-07-31,ASPDLR000291,Apartment repaint,site visit,1610085.75,unknown,payment risk
ASPLEAD0000749,2024-12-11,ASPDLR000843,Waterproofing,new,534571.68,Indigo,contractor controls decision
ASPLEAD0000750,2024-11-09,ASPDLR000945,Apartment repaint,stalled,975836.87,Nerolac,payment risk
ASPLEAD0000751,2025-03-28,ASPDLR000963,Beautiful Homes,won,1511073.37,Local,
ASPLEAD0000752,2025-06-16,ASPDLR000895,Builder project,stalled,1511276.70,unknown,payment risk
ASPLEAD0000753,2024-10-19,ASPDLR000290,Waterproofing,new,2002914.76,JSW,payment risk
ASPLEAD0000754,2026-01-12,ASPDLR000777,Beautiful Homes,lost,560672.11,Indigo,dealer asked extra margin
ASPLEAD0000755,02/05/2025,ASPDLR000759,Waterproofing,lost,28192.32,Nerolac,price high
ASPLEAD0000756,2025-03-17,ASPDLR000574,Villa,won,2714713.66,None,payment risk
ASPLEAD0000757,2024-08-18,ASPDLR000308,Builder project,won,1629401.40,JSW,price high
ASPLEAD0000758,2024-12-29,ASPDLR000445,Beautiful Homes,lost,389047.66,Indigo,price high
ASPLEAD0000759,2025-10-18,ASPDLR000852,Commercial,stalled,1341682.95,Indigo,
ASPLEAD0000760,04/06/2025,ASPDLR000578,Villa,new,2459760.19,Nerolac,price high
ASPLEAD0000761,02-Dec-24,ASPDLR000575,Apartment repaint,won,455466.78,Local,price high
ASPLEAD0000762,2024-08-14,ASPDLR000607,Apartment repaint,stalled,2774039.90,Nerolac,dealer asked extra margin
ASPLEAD0000763,2025-03-08,ASPDLR000270,Villa,lost,1733619.59,Local,contractor controls decision
ASPLEAD0000764,2024-08-03,ASPDLR000552,Waterproofing,site visit,2228668.72,Local,payment risk
ASPLEAD0000765,2024-04-25,ASPDLR000621,Builder project,won,449389.00,None,
ASPLEAD0000766,08/21/2024,ASPDLR000851,Apartment repaint,new,1997532.33,Nerolac,contractor controls decision
ASPLEAD0000767,17-Nov-24,ASPDLR000775,Builder project,won,2827671.29,Local,payment risk
ASPLEAD0000768,2025-10-03,ASPDLR000987,Villa,lost,1124433.76,Indigo,price high
ASPLEAD0000769,2025-12-09,ASPDLR000749,Waterproofing,lost,557544.63,None,
ASPLEAD0000770,29/07/2025,ASPDLR000934,Beautiful Homes,quoted,285815.79,Berger,
ASPLEAD0000771,2025-05-10,ASPDLR000352,Beautiful Homes,lost,1197643.79,JSW,contractor controls decision
ASPLEAD0000772,2025-02-08,ASPDLR000716,Villa,new,2989335.21,Berger,dealer asked extra margin
ASPLEAD0000773,2025-12-20,ASPDLR000928,Beautiful Homes,site visit,1932006.34,Nerolac,payment risk
ASPLEAD0000774,2026-03-14,ASPDLR000228,Commercial,site visit,722693.67,None,
ASPLEAD0000775,2025-02-27,ASPDLR000312,Beautiful Homes,site visit,1939830.85,Indigo,payment risk
ASPLEAD0000776,2025-05-25,ASPDLR000782,Builder project,lost,2372518.01,Nerolac,contractor controls decision
ASPLEAD0000777,2025-11-22,ASPDLR000027,Waterproofing,site visit,2995336.02,None,price high
ASPLEAD0000778,2025-04-23,ASPDLR000157,Beautiful Homes,lost,2802443.60,JSW,dealer asked extra margin
ASPLEAD0000779,2025-07-26,ASPDLR000488,Apartment repaint,new,2510370.30,unknown,contractor controls decision
ASPLEAD0000780,2024-09-15,ASPDLR000888,Villa,site visit,1574279.35,Indigo,price high
ASPLEAD0000781,2024-08-18,ASPDLR000072,Builder project,site visit,405735.87,JSW,contractor controls decision
ASPLEAD0000782,2025-09-07,ASPDLR000715,Commercial,new,1533950.23,Indigo,
ASPLEAD0000783,2025-12-19,ASPDLR000766,Builder project,stalled,2283750.55,Indigo,
ASPLEAD0000784,2025-07-14,ASPDLR000775,Builder project,site visit,436038.64,Indigo,contractor controls decision
ASPLEAD0000785,07/03/2026,ASPDLR000924,Beautiful Homes,quoted,1753486.98,JSW,
ASPLEAD0000786,2024-09-11,ASPDLR000650,Apartment repaint,won,1575457.64,Berger,payment risk
ASPLEAD0000787,03/10/2026,ASPDLR000875,Builder project,new,163522.81,JSW,
ASPLEAD0000788,2026-02-02,ASPDLR000842,Beautiful Homes,stalled,2396642.32,JSW,dealer asked extra margin
ASPLEAD0000789,2024-06-27,ASPDLR000303,Commercial,quoted,1702521.41,None,dealer asked extra margin
ASPLEAD0000790,2026-02-14,ASPDLR000392,Villa,won,700623.30,Nerolac,
ASPLEAD0000791,2025-11-08,ASPDLR000249,Waterproofing,stalled,1734290.89,None,payment risk
ASPLEAD0000792,2025-12-13,ASPDLR000702,Apartment repaint,site visit,1980929.64,Indigo,payment risk
ASPLEAD0000793,2025-11-29,ASPDLR000283,Waterproofing,quoted,1697928.01,Nerolac,
ASPLEAD0000794,23-Oct-24,ASPDLR000657,Commercial,new,209944.99,JSW,dealer asked extra margin
ASPLEAD0000795,2024-05-28,ASPDLR000134,Waterproofing,lost,483789.82,JSW,dealer asked extra margin
ASPLEAD0000796,2025-09-29,ASPDLR000783,Builder project,new,1790810.72,JSW,price high
ASPLEAD0000797,2025-11-26,ASPDLR000819,Villa,quoted,1071951.68,None,payment risk
ASPLEAD0000798,12-Aug-24,ASPDLR000644,Villa,new,2358281.37,Local,dealer asked extra margin
ASPLEAD0000799,31/12/2025,ASPDLR000068,Commercial,lost,2436193.37,Berger,payment risk
ASPLEAD0000800,13-Nov-24,ASPDLR000606,Apartment repaint,won,1252923.54,unknown,dealer asked extra margin
ASPLEAD0000801,2025-01-24,ASPDLR000347,Waterproofing,stalled,219701.93,unknown,
ASPLEAD0000802,2024-08-26,ASPDLR000508,Waterproofing,site visit,2899059.26,Indigo,contractor controls decision
ASPLEAD0000803,08/02/2025,ASPDLR000273,Beautiful Homes,new,2196223.21,Nerolac,contractor controls decision
ASPLEAD0000804,2024-08-03,ASPDLR000895,Villa,won,97487.90,Local,
ASPLEAD0000805,2025-09-29,ASPDLR000657,Apartment repaint,stalled,1927942.29,None,
ASPLEAD0000806,2025-01-14,ASPDLR000997,Builder project,site visit,2457126.07,Indigo,payment risk
ASPLEAD0000807,2024-07-20,ASPDLR000515,Villa,site visit,1243320.07,None,contractor controls decision
ASPLEAD0000808,2024-09-09,ASPDLR000678,Builder project,won,68642.24,None,dealer asked extra margin
ASPLEAD0000809,21/03/2025,ASPDLR000219,Waterproofing,quoted,77078.99,Local,contractor controls decision
ASPLEAD0000810,2024-04-30,ASPDLR000584,Commercial,quoted,2366218.01,JSW,payment risk
ASPLEAD0000811,2025-11-17,ASPDLR000699,Beautiful Homes,new,2098755.60,JSW,contractor controls decision
ASPLEAD0000812,2024-11-22,ASPDLR000731,Commercial,stalled,1883003.54,Nerolac,contractor controls decision
ASPLEAD0000813,05/28/2025,ASPDLR000404,Builder project,quoted,410085.84,unknown,payment risk
ASPLEAD0000814,2025-10-15,ASPDLR000159,Apartment repaint,new,2090400.31,Berger,dealer asked extra margin
ASPLEAD0000815,2025-06-07,ASPDLR000028,Waterproofing,won,2846608.01,JSW,contractor controls decision
ASPLEAD0000816,2025-09-13,ASPDLR000989,Beautiful Homes,new,999612.18,unknown,
ASPLEAD0000817,2024-11-15,ASPDLR000396,Apartment repaint,won,2995111.42,Berger,contractor controls decision
ASPLEAD0000818,2024-05-02,ASPDLR000812,Apartment repaint,site visit,980533.03,Nerolac,payment risk
ASPLEAD0000819,2024-04-17,ASPDLR000956,Commercial,stalled,2741744.53,unknown,contractor controls decision
ASPLEAD0000820,2024-11-12,ASPDLR000140,Beautiful Homes,new,2365110.52,Indigo,payment risk
ASPLEAD0000821,2024-11-04,ASPDLR000638,Beautiful Homes,site visit,295053.79,JSW,contractor controls decision
ASPLEAD0000822,2025-07-12,ASPDLR000667,Beautiful Homes,lost,1799252.75,Indigo,price high
ASPLEAD0000823,2025-07-24,ASPDLR000232,Commercial,won,516241.87,Indigo,price high
ASPLEAD0000824,2025-05-25,ASPDLR000615,Beautiful Homes,lost,2832568.07,unknown,
ASPLEAD0000825,2024-08-01,ASPDLR000079,Builder project,stalled,2953642.94,Local,
ASPLEAD0000826,2026-01-01,ASPDLR000868,Commercial,lost,1790401.20,unknown,payment risk
ASPLEAD0000827,2025-10-04,ASPDLR000792,Waterproofing,stalled,133502.11,Indigo,payment risk
ASPLEAD0000828,29/01/2025,ASPDLR000289,Waterproofing,won,2431499.06,Nerolac,
ASPLEAD0000829,2025-12-27,ASPDLR000572,Waterproofing,quoted,45336.20,unknown,
ASPLEAD0000830,09/09/2024,ASPDLR000167,Waterproofing,quoted,443075.29,Indigo,price high
ASPLEAD0000831,2025-02-27,ASPDLR000382,Villa,new,1231326.38,Berger,contractor controls decision
ASPLEAD0000832,06/11/2025,ASPDLR000675,Villa,site visit,92684.36,JSW,
ASPLEAD0000833,09/29/2024,ASPDLR000807,Villa,new,1616198.53,Berger,dealer asked extra margin
ASPLEAD0000834,2025-05-10,ASPDLR000224,Waterproofing,won,1064715.80,Local,dealer asked extra margin
ASPLEAD0000835,2025-02-28,ASPDLR000370,Builder project,stalled,416622.99,JSW,
ASPLEAD0000836,2025-08-29,ASPDLR000888,Waterproofing,lost,2930536.04,Nerolac,
ASPLEAD0000837,2024-05-13,ASPDLR000500,Apartment repaint,quoted,2973589.57,Indigo,price high
ASPLEAD0000838,05-Jan-25,ASPDLR000390,Commercial,quoted,100172.94,Berger,price high
ASPLEAD0000839,2026-01-24,ASPDLR000546,Builder project,new,1555581.34,unknown,price high
ASPLEAD0000840,2024-11-26,ASPDLR000799,Villa,quoted,2860226.37,Indigo,contractor controls decision
ASPLEAD0000841,2025-11-13,ASPDLR000971,Villa,won,264361.18,Local,
ASPLEAD0000842,2025-10-17,ASPDLR000230,Apartment repaint,lost,1267932.35,Nerolac,price high
ASPLEAD0000843,2024-06-12,ASPDLR000242,Apartment repaint,lost,2551693.26,JSW,payment risk
ASPLEAD0000844,2024-09-09,ASPDLR000227,Villa,stalled,2650175.08,Local,dealer asked extra margin
ASPLEAD0000845,14/06/2024,ASPDLR000671,Villa,lost,903742.55,Nerolac,dealer asked extra margin
ASPLEAD0000846,2025-06-18,ASPDLR000938,Villa,site visit,2023479.94,Berger,payment risk
ASPLEAD0000847,2025-03-27,ASPDLR000377,Builder project,won,2750203.44,Local,price high
ASPLEAD0000848,2024-06-19,ASPDLR000718,Builder project,lost,2460832.11,Berger,price high
ASPLEAD0000849,2025-10-07,ASPDLR000489,Apartment repaint,new,2813303.58,None,dealer asked extra margin
ASPLEAD0000850,19/05/2025,ASPDLR000215,Builder project,site visit,2565776.59,Berger,price high
ASPLEAD0000851,2024-08-18,ASPDLR000162,Commercial,stalled,1285849.61,Nerolac,dealer asked extra margin
ASPLEAD0000852,2024-06-11,ASPDLR000943,Apartment repaint,lost,471713.06,None,contractor controls decision
ASPLEAD0000853,2025-04-18,ASPDLR000433,Commercial,site visit,2068991.19,Local,
ASPLEAD0000854,2024-08-21,ASPDLR000735,Villa,site visit,171085.72,Indigo,payment risk
ASPLEAD0000855,2025-12-17,ASPDLR000644,Villa,lost,2584797.04,Indigo,price high
ASPLEAD0000856,2024-11-27,ASPDLR000460,Beautiful Homes,stalled,1536599.24,unknown,contractor controls decision
ASPLEAD0000857,2026-01-01,ASPDLR000893,Waterproofing,lost,2766468.30,Local,payment risk
ASPLEAD0000858,2025-03-04,ASPDLR000381,Builder project,won,2943496.71,unknown,dealer asked extra margin
ASPLEAD0000859,2025-06-30,ASPDLR000523,Villa,site visit,2044847.45,None,
ASPLEAD0000860,2024-04-23,ASPDLR000642,Commercial,lost,1590950.28,None,
ASPLEAD0000861,2024-11-23,ASPDLR000362,Beautiful Homes,new,1318457.32,None,contractor controls decision
ASPLEAD0000862,2025-01-19,ASPDLR000854,Beautiful Homes,won,1867495.70,None,dealer asked extra margin
ASPLEAD0000863,2025-11-03,ASPDLR000484,Waterproofing,quoted,891062.29,Nerolac,price high
ASPLEAD0000864,2024-08-24,ASPDLR000241,Beautiful Homes,won,2409589.44,None,contractor controls decision
ASPLEAD0000865,2024-12-14,ASPDLR000126,Builder project,lost,835933.63,unknown,price high
ASPLEAD0000866,03/23/2026,ASPDLR000754,Commercial,quoted,443613.33,None,contractor controls decision
ASPLEAD0000867,2026-03-28,ASPDLR000721,Commercial,site visit,2289043.07,unknown,dealer asked extra margin
ASPLEAD0000868,2024-07-01,ASPDLR000687,Beautiful Homes,site visit,411573.91,None,dealer asked extra margin
ASPLEAD0000869,2025-08-19,ASPDLR000152,Apartment repaint,new,599424.60,Indigo,dealer asked extra margin
ASPLEAD0000870,2025-03-16,ASPDLR000589,Commercial,lost,442496.02,Local,
ASPLEAD0000871,07/12/2024,ASPDLR000220,Villa,site visit,383037.63,None,price high
ASPLEAD0000872,2025-08-27,ASPDLR000273,Builder project,site visit,840115.16,Local,dealer asked extra margin
ASPLEAD0000873,2024-10-24,ASPDLR000907,Beautiful Homes,site visit,2688354.95,JSW,contractor controls decision
ASPLEAD0000874,2025-02-18,ASPDLR000957,Builder project,site visit,140025.72,JSW,
ASPLEAD0000875,01/31/2025,ASPDLR000606,Villa,won,1558033.60,JSW,payment risk
ASPLEAD0000876,2024-12-26,ASPDLR000439,Builder project,lost,614721.94,None,price high
ASPLEAD0000877,2025-08-25,ASPDLR000082,Waterproofing,stalled,2576140.56,JSW,payment risk
ASPLEAD0000878,2026-01-29,ASPDLR000142,Commercial,lost,2440279.36,None,price high
ASPLEAD0000879,2025-11-18,ASPDLR000604,Villa,quoted,2673979.13,None,contractor controls decision
ASPLEAD0000880,2026-01-21,ASPDLR000649,Villa,stalled,451733.30,Indigo,contractor controls decision
ASPLEAD0000881,2026-01-01,ASPDLR000545,Apartment repaint,site visit,790200.05,Indigo,contractor controls decision
ASPLEAD0000882,2024-07-08,ASPDLR000403,Villa,won,2265553.21,Local,dealer asked extra margin
ASPLEAD0000883,2024-05-19,ASPDLR000411,Commercial,won,2778284.42,Local,price high
ASPLEAD0000884,2024-08-15,ASPDLR000241,Apartment repaint,site visit,2248634.98,JSW,price high
ASPLEAD0000885,2025-12-21,ASPDLR000488,Apartment repaint,won,752367.79,Nerolac,price high
ASPLEAD0000886,2024-06-20,ASPDLR000419,Apartment repaint,new,282133.17,Local,dealer asked extra margin
ASPLEAD0000887,2025-08-09,ASPDLR000622,Beautiful Homes,new,880107.04,Nerolac,dealer asked extra margin
ASPLEAD0000888,2025-11-04,ASPDLR000850,Beautiful Homes,won,2713953.18,Indigo,
ASPLEAD0000889,27-Nov-25,ASPDLR000357,Builder project,stalled,2542524.90,Berger,
ASPLEAD0000890,2024-09-04,ASPDLR000999,Apartment repaint,stalled,1108362.37,Indigo,contractor controls decision
ASPLEAD0000891,2025-11-04,ASPDLR000645,Beautiful Homes,stalled,30237.63,unknown,price high
ASPLEAD0000892,01-May-24,ASPDLR000768,Beautiful Homes,lost,2470712.27,Nerolac,payment risk
ASPLEAD0000893,2024-10-07,ASPDLR000169,Beautiful Homes,site visit,1463356.90,Nerolac,payment risk
ASPLEAD0000894,2025-08-27,ASPDLR000078,Beautiful Homes,won,1476510.05,JSW,
ASPLEAD0000895,2025-05-24,ASPDLR000797,Waterproofing,new,2767881.53,unknown,price high
ASPLEAD0000896,11/16/2025,ASPDLR000134,Waterproofing,stalled,1590683.45,Nerolac,price high
ASPLEAD0000897,2024-06-11,ASPDLR000849,Builder project,site visit,1498557.72,unknown,dealer asked extra margin
ASPLEAD0000898,2024-04-25,ASPDLR000993,Commercial,won,1295514.76,JSW,
ASPLEAD0000899,2025-07-01,ASPDLR000284,Commercial,site visit,742297.05,JSW,payment risk
ASPLEAD0000900,2026-01-23,ASPDLR000316,Villa,site visit,2698963.69,Indigo,payment risk
ASPLEAD0000901,2025-04-20,ASPDLR000372,Apartment repaint,new,1905671.55,Berger,
ASPLEAD0000902,19/06/2025,ASPDLR000786,Waterproofing,lost,2760753.25,Berger,
ASPLEAD0000903,2025-06-02,ASPDLR000783,Beautiful Homes,site visit,824471.17,JSW,dealer asked extra margin
ASPLEAD0000904,30/07/2024,ASPDLR000186,Commercial,won,2728440.52,None,payment risk
ASPLEAD0000905,2025-12-12,ASPDLR000808,Villa,new,154011.38,None,dealer asked extra margin
ASPLEAD0000906,2024-08-12,ASPDLR000372,Commercial,site visit,1421890.23,Indigo,dealer asked extra margin
ASPLEAD0000907,12/22/2024,ASPDLR000498,Apartment repaint,quoted,989656.77,Indigo,dealer asked extra margin
ASPLEAD0000908,2026-02-14,ASPDLR000465,Waterproofing,new,1174797.04,Berger,payment risk
ASPLEAD0000909,2026-02-01,ASPDLR000237,Commercial,new,232196.38,None,price high
ASPLEAD0000910,2024-12-28,ASPDLR000744,Beautiful Homes,lost,77019.95,None,contractor controls decision
ASPLEAD0000911,2026-02-25,ASPDLR000552,Builder project,quoted,1525129.92,Berger,contractor controls decision
ASPLEAD0000912,2025-02-06,ASPDLR000578,Beautiful Homes,site visit,368241.13,Nerolac,
ASPLEAD0000913,2026-02-12,ASPDLR000310,Builder project,stalled,2581465.00,None,price high
ASPLEAD0000914,2025-10-17,ASPDLR000857,Builder project,won,127256.64,JSW,dealer asked extra margin
ASPLEAD0000915,18/07/2025,ASPDLR000006,Beautiful Homes,new,1091786.41,Indigo,contractor controls decision
ASPLEAD0000916,2024-07-26,ASPDLR000925,Villa,site visit,1096287.56,JSW,dealer asked extra margin
ASPLEAD0000917,07/29/2024,ASPDLR000892,Beautiful Homes,quoted,372995.60,Local,
ASPLEAD0000918,2026-01-19,ASPDLR000207,Builder project,lost,1693211.19,Berger,dealer asked extra margin
ASPLEAD0000919,2025-05-14,ASPDLR000386,Builder project,new,64473.77,Indigo,price high
ASPLEAD0000920,08/02/2026,ASPDLR000895,Commercial,won,663224.80,None,contractor controls decision
ASPLEAD0000921,2025-08-21,ASPDLR000712,Villa,stalled,2317628.25,Nerolac,dealer asked extra margin
ASPLEAD0000922,2025-06-24,ASPDLR000648,Apartment repaint,stalled,370870.08,Local,contractor controls decision
ASPLEAD0000923,22/06/2025,ASPDLR000690,Villa,quoted,497196.07,Indigo,payment risk
ASPLEAD0000924,2024-12-14,ASPDLR000871,Waterproofing,new,41784.06,Local,
ASPLEAD0000925,2025-01-26,ASPDLR000032,Waterproofing,stalled,101678.99,JSW,contractor controls decision
ASPLEAD0000926,2025-08-05,ASPDLR000911,Commercial,lost,931211.07,None,contractor controls decision
ASPLEAD0000927,2024-07-06,ASPDLR000045,Villa,site visit,2978623.46,None,dealer asked extra margin
ASPLEAD0000928,2025-07-14,ASPDLR000390,Villa,new,1305632.29,Nerolac,payment risk
ASPLEAD0000929,2024-08-12,ASPDLR000488,Waterproofing,site visit,1253877.54,unknown,price high
ASPLEAD0000930,2025-09-26,ASPDLR000254,Villa,site visit,2476922.87,JSW,dealer asked extra margin
ASPLEAD0000931,2025-12-06,ASPDLR000745,Apartment repaint,won,1469022.57,JSW,payment risk
ASPLEAD0000932,2025-09-01,ASPDLR000439,Commercial,new,2328355.30,Nerolac,contractor controls decision
ASPLEAD0000933,2025-05-12,ASPDLR000230,Villa,lost,2129468.68,Nerolac,payment risk
ASPLEAD0000934,02-Jun-25,ASPDLR000230,Commercial,lost,2841219.55,Berger,price high
ASPLEAD0000935,04/06/2025,ASPDLR000652,Villa,quoted,241541.78,Nerolac,contractor controls decision
ASPLEAD0000936,2026-01-27,ASPDLR000425,Commercial,new,1063954.32,unknown,contractor controls decision
ASPLEAD0000937,20/12/2025,ASPDLR000123,Builder project,new,2782573.68,unknown,dealer asked extra margin
ASPLEAD0000938,29-May-25,ASPDLR000244,Villa,site visit,268216.02,unknown,payment risk
ASPLEAD0000939,2025-06-06,ASPDLR000034,Apartment repaint,site visit,2855826.07,Nerolac,
ASPLEAD0000940,2024-06-28,ASPDLR000288,Apartment repaint,new,1709465.92,None,price high
ASPLEAD0000941,2025-02-23,ASPDLR000971,Beautiful Homes,quoted,384073.72,Berger,contractor controls decision
ASPLEAD0000942,24-Jul-24,ASPDLR000741,Waterproofing,lost,2797175.01,None,dealer asked extra margin
ASPLEAD0000943,2025-02-01,ASPDLR000342,Commercial,lost,1960063.45,Berger,dealer asked extra margin
ASPLEAD0000944,2025-09-05,ASPDLR000866,Waterproofing,won,360552.57,JSW,price high
ASPLEAD0000945,2025-07-18,ASPDLR000591,Builder project,lost,464580.00,Indigo,contractor controls decision
ASPLEAD0000946,13/07/2025,ASPDLR000220,Waterproofing,won,2759264.64,None,
ASPLEAD0000947,2025-12-18,ASPDLR000728,Beautiful Homes,quoted,2759718.13,None,payment risk
ASPLEAD0000948,2024-05-14,ASPDLR000739,Builder project,new,296670.32,Berger,dealer asked extra margin
ASPLEAD0000949,2025-07-24,ASPDLR000912,Commercial,quoted,2378134.15,Local,
ASPLEAD0000950,05-Jun-25,ASPDLR000835,Commercial,site visit,341390.69,Indigo,payment risk
ASPLEAD0000951,2025-10-06,ASPDLR000360,Villa,lost,2342699.74,Berger,payment risk
ASPLEAD0000952,2025-03-13,ASPDLR000948,Commercial,quoted,492636.49,Berger,
ASPLEAD0000953,17-Sep-25,ASPDLR000856,Commercial,quoted,1302036.22,Indigo,contractor controls decision
ASPLEAD0000954,2025-10-10,ASPDLR000383,Apartment repaint,won,1929050.28,JSW,contractor controls decision
ASPLEAD0000955,2024-04-14,ASPDLR000494,Waterproofing,stalled,1718861.66,Nerolac,price high
ASPLEAD0000956,2025-10-27,ASPDLR000512,Beautiful Homes,won,2773392.75,Local,price high
ASPLEAD0000957,25-Sep-25,ASPDLR000379,Commercial,stalled,1618654.30,Nerolac,contractor controls decision
ASPLEAD0000958,2026-03-27,ASPDLR000895,Builder project,quoted,770114.44,Indigo,dealer asked extra margin
ASPLEAD0000959,2025-12-18,ASPDLR000119,Beautiful Homes,stalled,2433173.46,Nerolac,payment risk
ASPLEAD0000960,2024-05-08,ASPDLR000405,Commercial,quoted,1570192.52,Local,payment risk
ASPLEAD0000961,2024-09-20,ASPDLR000410,Builder project,quoted,923071.15,unknown,
ASPLEAD0000962,2025-12-26,ASPDLR000960,Beautiful Homes,stalled,1599212.32,Berger,contractor controls decision
ASPLEAD0000963,20/06/2025,ASPDLR000482,Waterproofing,site visit,1638332.67,unknown,
ASPLEAD0000964,2025-03-01,ASPDLR000512,Waterproofing,lost,667235.96,Nerolac,price high
ASPLEAD0000965,2025-12-13,ASPDLR000972,Commercial,new,1273940.77,unknown,contractor controls decision
ASPLEAD0000966,2025-03-17,ASPDLR000343,Apartment repaint,quoted,970588.13,Berger,dealer asked extra margin
ASPLEAD0000967,28/10/2024,ASPDLR000856,Apartment repaint,quoted,1077272.71,unknown,price high
ASPLEAD0000968,2025-06-30,ASPDLR000778,Apartment repaint,lost,817413.86,Berger,
ASPLEAD0000969,20/07/2024,ASPDLR000234,Apartment repaint,lost,226997.30,Berger,payment risk
ASPLEAD0000970,15/03/2025,ASPDLR000739,Villa,won,606979.16,JSW,dealer asked extra margin
ASPLEAD0000971,2025-01-06,ASPDLR000607,Beautiful Homes,site visit,1446555.80,JSW,contractor controls decision
ASPLEAD0000972,2025-12-09,ASPDLR000609,Builder project,lost,1538205.61,Nerolac,price high
ASPLEAD0000973,2025-09-03,ASPDLR000299,Waterproofing,new,2684861.27,Nerolac,
ASPLEAD0000974,21/04/2025,ASPDLR000202,Beautiful Homes,quoted,1764349.24,Berger,contractor controls decision
ASPLEAD0000975,2024-09-04,ASPDLR000193,Apartment repaint,won,453020.43,None,contractor controls decision
ASPLEAD0000976,2024-05-23,ASPDLR000795,Waterproofing,site visit,2755738.05,None,payment risk
ASPLEAD0000977,25/01/2025,ASPDLR000564,Builder project,new,1073263.37,unknown,price high
ASPLEAD0000978,2025-12-11,ASPDLR000532,Builder project,lost,2363052.09,unknown,price high
ASPLEAD0000979,2025-03-24,ASPDLR000047,Apartment repaint,site visit,2242199.75,Local,dealer asked extra margin
ASPLEAD0000980,20-Oct-24,ASPDLR000801,Waterproofing,stalled,133359.22,Nerolac,price high
ASPLEAD0000981,2024-12-02,ASPDLR000328,Commercial,lost,1524837.55,Local,dealer asked extra margin
ASPLEAD0000982,2024-09-18,ASPDLR000095,Apartment repaint,new,2589206.04,Indigo,dealer asked extra margin
ASPLEAD0000983,2024-04-26,ASPDLR000625,Waterproofing,quoted,1193417.55,unknown,contractor controls decision
ASPLEAD0000984,2025-06-10,ASPDLR000303,Beautiful Homes,site visit,2653110.00,Indigo,price high
ASPLEAD0000985,2025-04-07,ASPDLR000084,Builder project,stalled,2505858.19,Local,contractor controls decision
ASPLEAD0000986,11/13/2024,ASPDLR000982,Villa,won,1364374.75,Indigo,contractor controls decision
ASPLEAD0000987,2025-01-24,ASPDLR000355,Villa,won,84543.50,unknown,contractor controls decision
ASPLEAD0000988,22/04/2025,ASPDLR000499,Villa,quoted,2080786.26,Berger,contractor controls decision
ASPLEAD0000989,2025-09-07,ASPDLR000070,Waterproofing,site visit,1068353.12,Indigo,contractor controls decision
ASPLEAD0000990,2025-07-05,ASPDLR000736,Villa,won,1926499.52,Indigo,payment risk
ASPLEAD0000991,2025-05-08,ASPDLR000885,Apartment repaint,site visit,2183847.86,Indigo,dealer asked extra margin
ASPLEAD0000992,2025-01-21,ASPDLR000566,Commercial,lost,2799774.55,Nerolac,payment risk
ASPLEAD0000993,2024-04-12,ASPDLR000039,Commercial,won,1666309.22,JSW,payment risk
ASPLEAD0000994,27-Dec-24,ASPDLR000500,Waterproofing,stalled,1467685.21,Nerolac,
ASPLEAD0000995,2024-10-16,ASPDLR000402,Apartment repaint,quoted,157749.12,unknown,dealer asked extra margin
ASPLEAD0000996,2024-05-16,ASPDLR000396,Commercial,new,1691975.55,Local,contractor controls decision
ASPLEAD0000997,2024-12-28,ASPDLR000203,Waterproofing,won,1266459.33,None,
ASPLEAD0000998,2025-05-30,ASPDLR000767,Builder project,new,562281.46,Indigo,
ASPLEAD0000999,2025-03-07,ASPDLR000554,Apartment repaint,lost,1928014.13,Berger,price high
